timestamp,active_users,request_count,error_count,error_rate,cpu_usage,memory_usage,response_time
2025-01-01 00:00:00,40,181,0,0.0,20.44,21.71,105.95
2025-01-01 01:00:00,73,282,3,1.06,27.42,22.87,116.49
2025-01-01 02:00:00,112,450,6,1.33,37.56,24.49,128.96
2025-01-01 03:00:00,106,370,1,0.27,33.38,23.97,116.63
2025-01-01 04:00:00,90,316,4,1.27,30.24,23.38,120.35
2025-01-01 05:00:00,97,350,5,1.43,32.26,23.69,123.01
2025-01-01 06:00:00,91,364,3,0.82,32.14,23.64,120.63
2025-01-01 07:00:00,91,299,0,0.0,29.24,23.32,111.33
2025-01-01 08:00:00,98,322,3,0.93,31.02,23.57,117.64
2025-01-01 09:00:00,96,370,1,0.27,32.58,23.77,116.43
2025-01-01 10:00:00,114,364,4,1.1,34.08,24.1,121.07
2025-01-01 11:00:00,122,422,1,0.24,36.74,24.55,117.96
2025-01-01 12:00:00,129,432,5,1.16,38.1,24.74,126.67
2025-01-01 13:00:00,112,390,2,0.51,34.76,24.19,118.86
2025-01-01 14:00:00,106,364,5,1.37,33.54,23.94,123.68
2025-01-01 15:00:00,111,396,4,1.01,35.12,24.2,122.58
2025-01-01 16:00:00,105,380,2,0.53,33.8,24.0,118.8
2025-01-01 17:00:00,100,302,4,1.32,30.48,23.51,119.4
2025-01-01 18:00:00,101,352,2,0.57,32.36,23.78,116.88
2025-01-01 19:00:00,114,382,1,0.26,34.5,24.19,116.02
2025-01-01 20:00:00,111,400,1,0.25,34.98,24.22,117.03
2025-01-01 21:00:00,111,404,0,0.0,35.04,24.24,115.73
2025-01-01 22:00:00,102,332,4,1.2,31.84,23.7,120.41
2025-01-01 23:00:00,110,426,5,1.17,36.34,24.33,126.25
2025-01-02 00:00:00,110,427,1,0.23,35.98,24.34,118.75
2025-01-02 01:00:00,98,290,1,0.34,29.54,23.41,112.44
2025-01-02 02:00:00,91,346,2,0.58,31.32,23.55,117.23
2025-01-02 03:00:00,97,341,4,1.17,31.8,23.65,120.51
2025-01-02 04:00:00,104,415,1,0.24,35.02,24.15,117.92
2025-01-02 05:00:00,117,411,1,0.24,35.9,24.39,117.56
2025-01-02 06:00:00,104,352,4,1.14,32.8,23.84,121.37
2025-01-02 07:00:00,99,351,1,0.28,32.06,23.73,115.32
2025-01-02 08:00:00,95,329,0,0.0,30.76,23.54,112.35
2025-01-02 09:00:00,103,351,2,0.57,32.48,23.81,117.19
2025-01-02 10:00:00,115,387,3,0.78,34.98,24.23,120.5
2025-01-02 11:00:00,111,467,5,1.07,38.06,24.55,128.78
2025-01-02 12:00:00,99,415,5,1.2,35.02,24.05,126.27
2025-01-02 13:00:00,105,383,1,0.26,33.82,24.02,116.5
2025-01-02 14:00:00,111,472,3,0.64,38.06,24.58,124.83
2025-01-02 15:00:00,109,386,4,1.04,34.56,24.11,122.47
2025-01-02 16:00:00,119,431,3,0.7,37.06,24.54,122.37
2025-01-02 17:00:00,115,368,2,0.54,34.12,24.14,118.1
2025-01-02 18:00:00,107,412,0,0.0,35.04,24.2,115.71
2025-01-02 19:00:00,123,480,2,0.42,39.24,24.86,122.49
2025-01-02 20:00:00,107,385,2,0.52,34.16,24.07,119.11
2025-01-02 21:00:00,90,332,4,1.2,30.88,23.46,120.8
2025-01-02 22:00:00,101,401,4,1.0,34.52,24.02,123.43
2025-01-02 23:00:00,104,327,3,0.92,31.7,23.71,118.07
2025-01-03 00:00:00,106,391,2,0.51,34.32,24.08,118.83
2025-01-03 01:00:00,104,369,0,0.0,33.08,23.92,114.07
2025-01-03 02:00:00,118,394,1,0.25,35.3,24.33,116.94
2025-01-03 03:00:00,100,365,1,0.27,32.7,23.82,116.35
2025-01-03 04:00:00,94,366,1,0.27,32.26,23.71,116.17
2025-01-03 05:00:00,106,388,4,1.03,34.4,24.06,122.63
2025-01-03 06:00:00,87,321,0,0.0,29.8,23.34,112.41
2025-01-03 07:00:00,86,299,3,1.0,29.14,23.21,117.23
2025-01-03 08:00:00,91,310,4,1.29,30.08,23.37,119.08
2025-01-03 09:00:00,86,327,2,0.61,30.16,23.36,116.58
2025-01-03 10:00:00,99,374,1,0.27,32.98,23.85,115.92
2025-01-03 11:00:00,95,419,4,0.95,34.76,23.99,124.8
2025-01-03 12:00:00,103,388,4,1.03,34.16,24.0,122.74
2025-01-03 13:00:00,93,398,5,1.26,33.86,23.85,125.84
2025-01-03 14:00:00,101,372,2,0.54,33.16,23.88,118.18
2025-01-03 15:00:00,105,403,5,1.24,35.02,24.12,125.75
2025-01-03 16:00:00,97,330,4,1.21,31.36,23.59,120.21
2025-01-03 17:00:00,93,354,0,0.0,31.6,23.63,113.49
2025-01-03 18:00:00,107,367,3,0.82,33.54,23.98,120.01
2025-01-03 19:00:00,97,323,4,1.24,31.08,23.55,119.96
2025-01-03 20:00:00,110,455,5,1.1,37.5,24.47,128.05
2025-01-03 21:00:00,106,370,5,1.35,33.78,23.97,124.18
2025-01-03 22:00:00,103,379,1,0.26,33.5,23.95,116.49
2025-01-03 23:00:00,94,371,3,0.81,32.66,23.73,120.42
2025-01-04 00:00:00,102,396,1,0.25,34.1,24.02,117.31
2025-01-04 01:00:00,111,396,3,0.76,35.02,24.2,120.83
2025-01-04 02:00:00,111,403,5,1.24,35.5,24.23,125.63
2025-01-04 03:00:00,106,349,4,1.15,32.84,23.87,120.93
2025-01-04 04:00:00,102,411,2,0.49,34.8,24.09,120.21
2025-01-04 05:00:00,92,355,3,0.85,31.86,23.61,119.71
2025-01-04 06:00:00,94,346,2,0.58,31.56,23.61,117.42
2025-01-04 07:00:00,96,344,5,1.45,31.94,23.64,123.03
2025-01-04 08:00:00,112,436,1,0.23,36.5,24.42,118.36
2025-01-04 09:00:00,107,395,0,0.0,34.36,24.12,115.26
2025-01-04 10:00:00,111,402,3,0.75,35.26,24.23,121.53
2025-01-04 11:00:00,119,418,3,0.72,36.54,24.47,121.52
2025-01-04 12:00:00,116,357,3,0.84,33.86,24.11,119.33
2025-01-04 13:00:00,108,310,2,0.65,31.24,23.71,114.84
2025-01-04 14:00:00,112,416,0,0.0,35.6,24.32,116.11
2025-01-04 15:00:00,118,478,4,0.84,38.96,24.75,126.44
2025-01-04 16:00:00,125,477,1,0.21,39.18,24.89,120.65
2025-01-04 17:00:00,112,357,1,0.28,33.34,24.03,115.41
2025-01-04 18:00:00,111,397,3,0.76,35.06,24.2,121.28
2025-01-04 19:00:00,102,409,3,0.73,34.82,24.09,122.11
2025-01-04 20:00:00,115,377,0,0.0,34.28,24.19,113.85
2025-01-04 21:00:00,102,357,1,0.28,32.54,23.82,115.41
2025-01-04 22:00:00,107,382,5,1.31,34.34,24.05,124.91
2025-01-04 23:00:00,110,397,3,0.76,34.98,24.18,121.3
2025-01-05 00:00:00,99,394,1,0.25,33.78,23.95,116.87
2025-01-05 01:00:00,104,352,3,0.85,32.7,23.84,119.02
2025-01-05 02:00:00,99,402,3,0.75,34.3,23.99,121.97
